Brilliant,Parlak/Zeki,She came up with a brilliant idea to solve the problem.,Sorunu çözmek için parlak bir fikirle geldi.
Brim,Kenar/Ağız,The cup was filled to the brim with hot coffee.,Fincan ağzına kadar sıcak kahve ile doluydu.
Brink,Eşik/Kenar,The two countries were on the brink of war.,İki ülke savaşın eşiğindeydi.
Brisk,Canlı/Hızlı,We took a brisk walk in the park to get some exercise.,Egzersiz yapmak için parkta hızlı (canlı) bir yürüyüş yaptık.
Broad,Geniş/Yaygın,He has a broad understanding of international affairs.,Uluslararası ilişkiler konusunda geniş bir anlayışı var.
Broadband,Geniş bant,High-speed broadband internet is essential for modern businesses.,Yüksek hızlı geniş bant internet modern işletmeler için gereklidir.
Broadcast,Yayınlamak,The interview will be broadcast live on national television.,Röportaj ulusal televizyonda canlı olarak yayınlanacak.
Broaden,Genişletmek,Traveling helps to broaden your horizons and understanding of the world.,Seyahat etmek ufkunuzu ve dünya anlayışınızı genişletmeye yardımcı olur.
Brochure,Broşür,Please read the brochure for more information about the tours.,Turlar hakkında daha fazla bilgi için lütfen broşürü okuyun.
Bronze,Bronz,He won a bronze medal in the swimming competition.,Yüzme yarışmasında bronz madalya kazandı.
Browse,Göz atmak,I like to browse through bookstores in my free time.,Boş zamanlarımda kitapçılara göz atmayı severim.
Bruise,Morluk/Bere,He had a large bruise on his leg after the fall.,Düşüşten sonra bacağında büyük bir morluk vardı.
Brutal,Vahşi/Acımasız,The dictator was known for his brutal regime.,Diktatör acımasız rejimiyle tanınıyordu.
Bubble,Baloncuk,The economy is facing a housing bubble that might burst.,Ekonomi patlayabilecek bir konut balonuyla karşı karşıya.
Bucket,Kova,We need a bucket of water to wash the car.,Arabayı yıkamak için bir kova suya ihtiyacımız var.
Buckle,Toka/Bağlamak,Please buckle your seatbelt before the plane takes off.,Lütfen uçak kalkmadan önce emniyet kemerinizi bağlayın.
Budget,Bütçe,We must stick to a tight budget this month.,Bu ay sıkı bir bütçeye sadık kalmalıyız.
Buffer,Tampon,The trees act as a buffer against the strong wind.,Ağaçlar güçlü rüzgara karşı bir tampon görevi görür.
Buffet,Açık büfe,The hotel offers a delicious breakfast buffet every morning.,Otel her sabah lezzetli bir açık büfe kahvaltı sunmaktadır.
Bug,Böcek/Hata,There is a bug in the software that needs fixing.,Yazılımda düzeltilmesi gereken bir hata var.
Bulk,Yığın/Toptan,It is cheaper to buy food in bulk.,Yiyecekleri toptan almak daha ucuzdur.
Bullet,Mermi,The bullet missed the target by a few inches.,Mermi hedefi birkaç inçle ıskaladı.
Bulletin,Bülten,Here is the latest news bulletin from the BBC.,İşte BBC'den en son haber bülteni.
Bully,Zorba/Kabadayı,He used to bully other children at school.,Okulda diğer çocuklara zorbalık yapardı.
Bump,Çarpmak/Tümsek,I accidentally bumped into the table and spilled my coffee.,Kazara masaya çarptım ve kahvemi döktüm.
Bunch,Demet/Grup,He bought a bunch of grapes from the market.,Marketten bir salkım üzüm aldı.
Bundle,Demet/Paket,She carried a bundle of clothes to the laundry.,Çamaşırhaneye bir demet kıyafet taşıdı.
Burden,Yük/Külfet,I don't want to be a burden to my family.,Aileme bir yük olmak istemiyorum.
Bureau,Büro/Daire,The investigation was handled by the Federal Bureau.,Soruşturma Federal Büro tarafından yürütüldü.
Bureaucracy,Bürokrasi,Excessive bureaucracy can slow down business operations.,Aşırı bürokrasi iş operasyonlarını yavaşlatabilir.
Bureaucrat,Bürokrat,He is a senior bureaucrat in the Ministry of Finance.,Maliye Bakanlığı'nda kıdemli bir bürokrattır.
Burglar,Hırsız (Ev),The burglar entered the house through the window.,Hırsız eve pencereden girdi.
Burial,Gömme/Defin,The burial ceremony took place at the local cemetery.,Defin töreni yerel mezarlıkta gerçekleşti.
Burnout,Tükenmişlik,Employee burnout is a growing concern in the tech industry.,Çalışan tükenmişliği teknoloji endüstrisinde artan bir endişedir.
Burst,Patlamak,The pipes burst due to the freezing temperatures.,Dondurucu sıcaklıklar nedeniyle borular patladı.
Bury,Gömme,The dog tried to bury the bone in the garden.,Köpek kemiği bahçeye gömmeye çalıştı.
Bush,Çalı,The bird hid in the thick bush to escape predators.,Kuş yırtıcılardan kaçmak için sık çalıya saklandı.
Bust,Bozulmak/İflas,The company went bust after the financial crisis.,Şirket finansal krizden sonra iflas etti.
Butcher,Kasap,The butcher prepared the meat for the customers.,Kasap müşteriler için eti hazırladı.
Buzz,Vızıltı/Uğultu,There was a buzz of excitement in the room.,Odada bir heyecan uğultusu vardı.
Bypass,Baypas/Atlamak,They built a new road to bypass the heavy traffic.,Yoğun trafiği atlamak (baypas etmek) için yeni bir yol inşa ettiler.
Cab,Taksi,We took a cab to the airport because we were late.,Geç kaldığımız için havaalanına taksi tuttuk.
Cabin,Kabin/Kulübe,We stayed in a wooden cabin in the mountains.,Dağlarda ahşap bir kulübede kaldık.
Cabinet,Bakanlar Kurulu/Dolap,The Prime Minister met with his Cabinet to discuss the crisis.,Başbakan krizi görüşmek üzere Bakanlar Kurulu ile bir araya geldi.
Cable,Kablo,The television signal is transmitted via cable.,Televizyon sinyali kablo aracılığıyla iletilir.
Calculate,Hesaplamak,We need to calculate the total cost of the project.,Projenin toplam maliyetini hesaplamamız gerekiyor.
Calculation,Hesaplama,According to my calculations we should arrive by noon.,Hesaplamalarıma göre öğleye kadar varmalıyız.
Calendar,Takvim,Please mark the date on your calendar.,Lütfen tarihi takviminize işaretleyin.
Calibration,Kalibrasyon/Ayar,The machine requires regular calibration to ensure accuracy.,Makine doğruluğu sağlamak için düzenli kalibrasyon gerektirir.
Calm,Sakin,Please remain calm and follow the instructions.,Lütfen sakin olun ve talimatları izleyin.
Calorie,Kalori,This meal contains fewer calories than a burger.,Bu yemek bir burgerden daha az kalori içerir.
Camel,Deve,Camels are well adapted to life in the desert.,Develer çöldeki yaşama iyi adapte olmuşlardır.
Campaign,Kampanya,The marketing campaign was a huge success.,Pazarlama kampanyası büyük bir başarıydı.
Campus,Kampüs,The university campus has excellent facilities for students.,Üniversite kampüsü öğrenciler için mükemmel tesislere sahiptir.
Canal,Kanal,The Panama Canal connects the Atlantic and Pacific oceans.,Panama Kanalı Atlantik ve Pasifik okyanuslarını birbirine bağlar.
Cancel,İptal etmek,They had to cancel the concert due to rain.,Yağmur nedeniyle konseri iptal etmek zorunda kaldılar.
Candid,Açık sözlü/İçten,To be candid I don't think this plan will work.,Açık sözlü olmak gerekirse bu planın işe yarayacağını sanmıyorum.
Candidate,Aday,She is the leading candidate for the position.,O pozisyon için önde gelen adaydır.
Canvas,Tuval/Kumaş,The artist painted a beautiful landscape on the canvas.,Sanatçı tuvale güzel bir manzara resmetti.
Capability,Yetenek/Kabiliyet,The new system has the capability to process data faster.,Yeni sistem verileri daha hızlı işleme kabiliyetine sahiptir.
Capable,Yetenekli/Muktedir,She is a very capable manager who can handle stress.,O stresi yönetebilen çok yetenekli bir yöneticidir.
Capacity,Kapasite,The stadium has a seating capacity of fifty thousand.,Stadyumun elli bin oturma kapasitesi vardır.
Cape,Burun (Coğrafya)/Pelerin,We visited the Cape of Good Hope in South Africa.,Güney Afrika'daki Ümit Burnu'nu ziyaret ettik.
Capitalism,Kapitalizm,Capitalism is an economic system based on private ownership.,Kapitalizm özel mülkiyete dayalı bir ekonomik sistemdir.
Capitalist,Kapitalist,He is a wealthy capitalist who invests in startups.,O girişimlere yatırım yapan zengin bir kapitalisttir.
Captain,Kaptan,The captain announced that we would be landing shortly.,Kaptan kısa süre içinde inebileceğimizi duyurdu.
Caption,Altyazı/Başlık,The caption under the photo explained the event.,Fotoğrafın altındaki başlık olayı açıklıyordu.
Captive,Esir/Tutsak,The animals were held captive in small cages.,Hayvanlar küçük kafeslerde tutsak tutuldu.
Capture,Yakalamak/Ele geçirmek,The photographer managed to capture the perfect moment.,Fotoğrafçı mükemmel anı yakalamayı başardı.
Carbon,Karbon,Reducing carbon emissions is vital for the environment.,Karbon emisyonlarını azaltmak çevre için hayati önem taşır.
Carefree,Kaygısız,They spent a carefree summer at the beach.,Plajda kaygısız bir yaz geçirdiler.
Careless,Dikkatsiz,It was careless of him to leave the door unlocked.,Kapıyı kilitlemeden bırakması onun dikkatsizliğiydi.
Cargo,Kargo/Yük,The ship was carrying a cargo of oil.,Gemi bir petrol kargosu taşıyordu.
Carnival,Karnaval,The streets were filled with people during the carnival.,Karnaval sırasında sokaklar insanlarla doluydu.
Carpenter,Marangoz,The carpenter built a custom bookshelf for us.,Marangoz bizim için özel bir kitaplık yaptı.
Carpet,Halı,The red carpet was rolled out for the celebrities.,Ünlüler için kırmızı halı serildi.
Carriage,Vagon/Fayton,We reserved seats in the first-class carriage.,Birinci sınıf vagonda koltuk ayırttık.
Carrier,Taşıyıcı/Havayolu,The airline is the national flag carrier.,Havayolu ulusal bayrak taşıyıcısıdır.
Cart,Araba (Alışveriş vb.),Please return the shopping cart to the designated area.,Lütfen alışveriş arabasını belirlenen alana geri koyun.
Carton,Karton kutu,He drank a carton of milk after the run.,Koşudan sonra bir karton süt içti.
Carve,Oymak/Kesmek,He carved a beautiful figure out of wood.,Ahşaptan güzel bir figür oydu.
Cashier,Kasiyer,The cashier scanned the items and gave me the receipt.,Kasiyer ürünleri taradı ve bana fişi verdi.
Casino,Kumarhane,They lost a lot of money at the casino in Las Vegas.,Las Vegas'taki kumarhanede çok para kaybettiler.
Cast,Oyuncu kadrosu/Atmak,The movie features a star-studded cast.,Film yıldızlarla dolu bir oyuncu kadrosuna sahip.
Casual,Gündelik/Rahat,The dress code for the party is casual.,Partinin kıyafet kuralı gündeliktir.
Casualty,Kazazede/Kayıp,There were no casualties in the accident.,Kazada hiç kayıp (kazazede) yoktu.
Catalog,Katalog,You can order products directly from our catalog.,Ürünleri doğrudan kataloğumuzdan sipariş edebilirsiniz.
Catastrophe,Felaket,The earthquake was a major catastrophe for the region.,Deprem bölge için büyük bir felaketti.
Categorize,Kategorize etmek,Please categorize these files by date.,Lütfen bu dosyaları tarihe göre kategorize edin.
Category,Kategori,This film falls into the horror category.,Bu film korku kategorisine giriyor.
English,Turkish,EnSample,TrSample
Cater,Hizmet vermek/Yiyecek sağlamak,The hotel restaurant caters to vegetarians and vegans alike.,Otel restoranı hem vejetaryenlere hem de veganlara hizmet vermektedir.
Cathedral,Katedral,The ancient cathedral is a masterpiece of Gothic architecture.,Antik katedral Gotik mimarinin bir şaheseridir.
Caution,Dikkat/Uyarı,Drivers are advised to exercise extreme caution in icy conditions.,Sürücülerin buzlu koşullarda aşırı dikkatli olmaları tavsiye edilir.
Cautious,İhtiyatlı/Dikkatli,Investors are becoming more cautious about where they put their money.,Yatırımcılar paralarını nereye koyacakları konusunda daha ihtiyatlı hale geliyorlar.
Cease,Durdurmak/Son vermek,The company decided to cease operations in the region due to instability.,Şirket istikrarsızlık nedeniyle bölgedeki operasyonlarını durdurmaya karar verdi.
Cement,Çimento/Pekiştirmek,Their shared experience helped to cement their friendship for years.,Paylaştıkları deneyim arkadaşlıklarını yıllarca pekiştirmeye yardımcı oldu.
Cemetery,Mezarlık,Many famous writers are buried in this historic cemetery.,Birçok ünlü yazar bu tarihi mezarlıkta gömülüdür.
Census,Nüfus sayımı,The government conducts a national census every ten years.,Hükümet her on yılda bir ulusal nüfus sayımı yapar.
Ceramic,Seramik,She creates beautiful ceramic vases in her home studio.,Ev stüdyosunda güzel seramik vazolar yaratıyor.
Certainty,Kesinlik,There is no certainty that the plan will succeed as expected.,Planın beklendiği gibi başarılı olacağına dair bir kesinlik yok.
Certificate,Sertifika/Belge,You will receive a certificate upon completion of the course.,Kursu tamamladığınızda bir sertifika alacaksınız.
Certify,Onaylamak/Belgelemek,The accountant must certify that the financial reports are accurate.,Muhasebe finansal raporların doğru olduğunu onaylamalıdır.
Chamber,Oda/Hazne,The legislative chamber voted on the new bill yesterday.,Yasama meclisi (odası) dün yeni tasarıyı oyladı.
Champagne,Şampanya,We opened a bottle of champagne to celebrate the victory.,Zaferi kutlamak için bir şişe şampanya açtık.
Championship,Şampiyona,The team won the national championship for the third time.,Takım ulusal şampiyonayı üçüncü kez kazandı.
Chaos,Kaos/Kargaşa,The power outage caused absolute chaos in the city center.,Elektrik kesintisi şehir merkezinde tam bir kaosa neden oldu.
Characterize,Nitelemek/Karakterize etmek,The era was characterized by rapid industrial growth.,Bu dönem hızlı endüstriyel büyüme ile nitelendirildi.
Charge,Şarj etmek/Suçlamak,He was charged with theft but later acquitted.,Hırsızlıkla suçlandı ancak daha sonra beraat etti.
Charm,Cazibe/Büyü,The small village has retained its old-world charm.,Küçük köy eski dünya cazibesini korumuştur.
Charming,Çekici/Büyüleyici,He is a charming host who makes everyone feel welcome.,Herkesi hoş karşılayan çekici bir ev sahibidir.
Charter,Kiralamak (Uçak/Gemi),The group decided to charter a plane for their trip.,Grup gezileri için bir uçak kiralamaya karar verdi.
Chase,Kovalamak/Peşine düşmek,Police officers chased the suspect through the crowded streets.,Polis memurları şüpheliyi kalabalık sokaklarda kovaladı.
Cheat,Hile yapmak/Aldatmak,It is dishonest to cheat on an exam to get better grades.,Daha iyi notlar almak için sınavda hile yapmak sahtekarlıktır.
Cheer,Tezahürat yapmak/Neşelendirmek,The crowd cheered loudly as the team entered the stadium.,Takım stadyuma girerken kalabalık yüksek sesle tezahürat yaptı.
Cheerful,Neşeli,Despite the bad news she tried to keep a cheerful demeanor.,Kötü haberlere rağmen neşeli tavrını korumaya çalıştı.
Chemical,Kimyasal,Exposure to toxic chemicals can cause serious health problems.,Zehirli kimyasallara maruz kalmak ciddi sağlık sorunlarına neden olabilir.
Chemistry,Kimya,Understanding the chemistry of food can improve your cooking.,Yiyeceklerin kimyasını anlamak yemek pişirmenizi geliştirebilir.
Cherish,Değer vermek/Gözü gibi bakmak,I will cherish the memories of our time together forever.,Birlikte geçirdiğimiz zamanın anılarına sonsuza dek değer vereceğim.
